iteration no ,105, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.954939328
iteration no ,106, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,1,cpi_value ,2.991679004
iteration no ,107, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,2,cpi_value ,2.95988718
iteration no ,108, l2_data_size,524288,l2_block_size ,32,l1_inst_block_size,32,l1_data_block_size,32,l2_associativity ,4,l1_data_size,131072B,l1_inst_size,16384B,l1_data_asociativity,4, l1_ist_aso_str,4,cpi_value ,2.95471838
iteration no ,109, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,1,cpi_value ,2.0810713759999997
iteration no ,110, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,2,cpi_value ,2.074653908
iteration no ,111, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,1, l1_ist_aso_str,4,cpi_value ,2.068105988
iteration no ,112, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,1,cpi_value ,2.073788332
iteration no ,113, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,2,cpi_value ,2.067363564
iteration no ,114, l2_data_size,524288,l2_block_size ,64,l1_inst_block_size,64,l1_data_block_size,64,l2_associativity ,1,l1_data_size,65536B,l1_inst_size,8192B,l1_data_asociativity,2, l1_ist_aso_str,4,cpi_value ,2.0608634439999998
